Species;Code_Species;Compartment;AphiaID_Worms;Scientific_Name_Worms;Authority_Worms;Kingdom;Phylum;Class;Order;Family;Genus;rank
Bathylagidae sp.;Bathylagidae.sp;FISH;125509;Bathylagidae;Gill, 1884;Animalia;Chordata;Teleostei;Argentiniformes;Bathylagidae;NaN;Family
Bathysphyraenops simplex;Bath.simp;FISH;159845;Bathysphyraenops simplex;Parr, 1933;Animalia;Chordata;Teleostei;Acropomatiformes;Howellidae;Bathysphyraenops;Species
Bathyteuthis sp.;Bath.sp;MOLL;137694;Bathyteuthis;Hoyle, 1885;Animalia;Mollusca;Cephalopoda;Bathyteuthida;Bathyteuthidae;Bathyteuthis;Genus
Belzebub faxoni;Belz.faxo;CRUS;883867;Belzebub faxoni;(Borradaile, 1915);Animalia;Arthropoda;Malacostraca;Decapoda;Luciferidae;Belzebub;Species
Benthalbella infans;Bent.infa;FISH;126365;Benthalbella infans;Zugmayer, 1911;Animalia;Chordata;Teleostei;Aulopiformes;Scopelarchidae;Benthalbella;Species
Bentheogennema  sp.;Bent.sp;CRUS;106810;Bentheogennema;Burkenroad, 1936;Animalia;Arthropoda;Malacostraca;Decapoda;Benthesicymidae;Bentheogennema;Genus
Bentheogennema intermedia;Bent.inte;CRUS;107086;Bentheogennema intermedia;(Spence Bate, 1888);Animalia;Arthropoda;Malacostraca;Decapoda;Benthesicymidae;Bentheogennema;Species
Benthosema suborbitale;Bent.subo;FISH;126581;Benthosema suborbitale;(Gilbert, 1913);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Benthosema;Species
Bolinichthys distofax;Boli.dist;FISH;272649;Bolinichthys distofax;Johnson, 1975;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Bolinichthys;Species
Bolinichthys photothorax;Boli.phot;FISH;158886;Bolinichthys photothorax;(Parr, 1928);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Bolinichthys;Species
Bolinichthys sp.;Bolinichthys.sp;FISH;125816;Bolinichthys;Paxton, 1972;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Bolinichthys;Genus
Bolinichthys supralateralis;Boli.supr;FISH;126583;Bolinichthys supralateralis;(Parr, 1928);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Bolinichthys;Species
Bolitaena pygmaea;Boli.pygm;MOLL;410340;Bolitaena pygmaea;(A. E. Verrill, 1884);Animalia;Mollusca;Cephalopoda;Octopoda;Amphitretidae;Bolitaena;Species
Bolitaeninae sp.;Bolitaeninae.sp;MOLL;742052;Bolitaeninae;Chun, 1911;Animalia;Mollusca;Cephalopoda;Octopoda;Amphitretidae;NaN;Subfamily
Borostomias elucens;Boro.eluc;FISH;127335;Borostomias elucens;(Brauer, 1906);Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Borostomias;Species
Bothidae sp. (larvae);Both.sp.larvae;FISH;125576;Bothidae;Smitt, 1892;Animalia;Chordata;Teleostei;Pleuronectiformes;Bothidae;NaN;Family
Bothus lunatus;Both.luna;FISH;274187;Bothus lunatus;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Pleuronectiformes;Bothidae;Bothus;Species
Bothus ocellatus;Both.ocel;FISH;159275;Bothus ocellatus;(Agassiz, 1831);Animalia;Chordata;Teleostei;Pleuronectiformes;Bothidae;Bothus;Species
Bothus robinsi;Both.robi;FISH;159277;Bothus robinsi;Topp & Hoff, 1972;Animalia;Chordata;Teleostei;Pleuronectiformes;Bothidae;Bothus;Species
Brachycarpus biunguiculatus;Brac.biun;CRUS;107611;Brachycarpus biunguiculatus;(Lucas, 1846);Animalia;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Brachycarpus;Species
